L10_accuracy,L10_loss,L16_accuracy,L16_loss,L20_accuracy,L20_loss,L25_accuracy,L25_loss,L32_accuracy,L32_loss,L3_accuracy,L3_loss,L7_accuracy,L7_loss,L26_accuracy,L26_loss,L30_accuracy,L30_loss
0.3728,1.97,0.3543,1.9566666666666668,0.383,1.9496666666666667,0.3526,2.010666666666667,0.4106,1.9376666666666669,0.2875,2.074,0.2926,2.084333333333333,0.2411,2.1,0.266,2.1266666666666665
0.4033,1.7416666666666665,0.4109,1.752,0.4288,1.7213333333333332,0.3825,1.8316666666666668,0.4234,1.718,0.3208,1.9726666666666668,0.2447,1.982,0.2237,2.000666666666667,0.2674,2.045666666666667
0.3948,1.6826666666666668,0.3706,1.7003333333333333,0.4468,1.6783333333333335,0.3897,1.7926666666666666,0.427,1.672,0.3346,1.9413333333333334,0.274,1.9496666666666667,0.2726,1.9693333333333334,0.2991,2.013
0.4404,1.6693333333333331,0.4382,1.6603333333333332,0.4296,1.6106666666666667,0.3876,1.774,0.4336,1.6436666666666664,0.3134,1.9319999999999997,0.2717,1.9383333333333332,0.2866,1.9673333333333334,0.2853,1.999666666666667
0.4236,1.6356666666666666,0.4235,1.648,0.4552,1.603,0.3942,1.7686666666666666,0.4556,1.6126666666666667,0.3256,1.9183333333333332,0.273,1.9353333333333333,0.2617,1.9423333333333332,0.2804,1.9923333333333335
0.4503,1.6266666666666667,0.4474,1.6316666666666666,0.4638,1.5839999999999999,0.375,1.757,0.4575,1.6076666666666668,0.301,1.9033333333333333,0.2758,1.9256666666666664,0.2674,1.9496666666666667,0.2853,1.9903333333333333
0.4398,1.62,0.4541,1.6079999999999999,0.4607,1.5816666666666663,0.3943,1.7676666666666667,0.4528,1.5796666666666666,0.3276,1.9083333333333332,0.2575,1.9296666666666666,0.2679,1.9423333333333332,0.2852,1.9966666666666668
0.4422,1.6093333333333335,0.4505,1.596,0.4697,1.5706666666666667,0.3862,1.7596666666666667,0.455,1.5596666666666668,0.3181,1.9073333333333335,0.2619,1.92,0.2835,1.9393333333333331,0.2745,1.994
0.4477,1.615,0.4721,1.5830000000000002,0.4575,1.5463333333333331,0.4004,1.7540000000000002,0.4556,1.5513333333333332,0.3281,1.9280000000000002,0.2632,1.913,0.2875,1.9373333333333334,0.2448,1.995
0.4365,1.5986666666666667,0.4731,1.5786666666666669,0.4692,1.547666666666667,0.398,1.748,0.4718,1.5543333333333333,0.3178,1.905,0.268,1.93,0.2803,1.9306666666666665,0.2726,2.0016666666666665
0.434,,0.4738,,0.4658,,0.3975,,0.4678,,0.3227,,0.2678,,0.2822,,0.2699,
